post_num,links,img_url,timestamp,num_comments,num_likes,caption
43,https://www.instagram.com/p/BWhU-I4hgoE5Ay619SAms4T5vAp5Jw1OiYKHOk0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/1a855ef5cda93992ceb94081844e751b/5C6638C3/t51.2885-15/e35/20066096_710834335779029_4111599736086069248_n.jpg,1500021906,0,133,. . . .  بی تماشاگه رویش  به تماشا نرویم... . . . #سعدی
42,https://www.instagram.com/p/BVwcakzhk9apaXpnddNnc-bfoy0kq1KxY1R0YU0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/33d83b82aa318b26febd26abec69cb90/5C8A2292/t51.2885-15/e35/19379406_474774102855756_700968083233177600_n.jpg,1498381642,0,122,. . . . پرتویِ نورِ رویِ تو هر نفسی به هر کسی  می رسد و نمی رسد نوبت اِتصال من  #سعدی
41,https://www.instagram.com/p/BVXsT8CBOQrY2hJdBxwOTRv2kxaHV3RZEF1Z6k0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/0b7767bc5e957a759c4cbda15cb8cc2a/5C6FD15D/t51.2885-15/e35/19121619_1559074884112353_2840047760135159808_n.jpg,1497551115,0,118,. . . دیده بگشا نقش انسان ماند با جام تهی سوخت لاله  مُرد لیلی  خشک شد سرو سهی ز آگهی مان جهل ماند و  جهل ماند از آگهی دیده بگشا ای صنم ای ساقی مستان  علی . . . #لیلة_القدر #علی_معلم
40,https://www.instagram.com/p/BUrO-kEF_q0ZXcp0DqFhyjkWOY0kN0UsJkXCog0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/62910371de61a9fa74a964a4d41dc7c0/5BD7D7B2/t51.2885-15/e15/18646637_367632926965057_4421984708896751616_n.jpg,1496059341,0,119,پایان . . . لحظه موعود فرا رسید. متاسفانه لحظه ای رسید که من هرگز دوست نداشتم از راه برسد.  در تنهایی، مانند دیوانه ها گریه کردم. نمی توانید 25 سالی مانند این را فراموش کنید. از همه تشکر می کنم. حتی اگر این برایم راحت نباشد.  خیلی سخت است که این همه سال را در چند عبارت بیان کنم. دوست دارم آن را در یک ترانه یا شعر بگویم اما من در این کارها خوب نیستم. من تلاش کردم تا با پاهایم خودم را نشان بدهم زیرا اینطور برایم خیلی آسان تر بود.  می دانید وقتی بچه بودم، اسباب بازی محبوبم چه بود؟ فوتبال!  و هنوز هم برایم بهترین است. اما در زمان مشخصی، شما باید بزرگ شوید.  لعنت به زمان! در 17 ژوئن 2001 ما می خواستیم زمان خیلی سریع سپری شود. نمی توانستیم بیشتر از این صبر کنیم تا داور سه بار سوت بزند. حتی حالا هم وقتی به آن فکر می کنم، موهای تنم سیخ می شود.  حال زمان از راه رسیده و روی شانه های من زده  و گفته که باید بزرگ شوم. او گفت که از فردا، تو یک آدم بزرگ هستی. لباس های ورزشی و کفشت را در بیاور. از حالا یک مرد هستی و دیگر نمی توانی چمن را بو بکشی و نور خورشید را روی صورتت احساس کنی.  دیگر نمی توانید از شادی گل، لبریز رضایت بشوی.  در این چند ماه از خودم می پرسیدم که چرا باید از این رویا بیدار شوم. وقتی بچه هستید، می دانید که وقتی رویای چیزی را دارید، تا وقتی مادرتان شما را برای مدرسه از خواب بیدار نکرده، می توانید در آن زندگی کنید. شما تلاش می کنید تا با خوابیدن، به همان رویا برگردید اما هرگز این اتفاق رخ نمی دهد.  این بار دیگر رویا نبود. واقعیت بود. می خواهم این سخنرانی را به همه کودکانی که من را تشویق کردند، تقدیم کنم، آنهایی که احتمالا با من بزرگ شدند و حالا پدر هستند.  دوست دارم دوران حرفه ای ام را مانند یک داستان افسانه ای نگاه کنم و این قسمت (خداحافظی)، بدترین بخش آن است. اکنون دیگر واقعا تمام شده است. برای آخرین بار پیراهنم را از تن خارج می کنم. آن را به دقت تا می کنم؛ حتی اگر مجبور باشم بگویم که برای رفتن آماده نیستم و شاید هیچ وقت هم آماده نباشم.  اکنون از این پله ها پایین می آیم، وارد رختکن می شوم؛ جایی که وقتی یک کودک بودم، پذیرای من شد و حالا به عنوان یک مرد، آن را ترک می کنم. خوشحالم و افتخار می کنم که در همه این سال عاشق رم بودم. دوست تان دارم." . .  #francesco_totti#کاپیتان#نوستالژی#فرانچسکو_توتی
39,https://www.instagram.com/p/BUcBY03Bk6u1EzwWZAWtMozo5_6_qgS8T8MXlM0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/53a0e63c42320381f0371aa08c3c8eff/5C7B2F23/t51.2885-15/e35/18722249_918951954909412_8089495190332506112_n.jpg,1495548899,2,113,: . . . . در شهرم شهر پر است از سربازهای مسلح  كه به فاصله ی ده متری  دو به دو و گاهی سه به سه  در گوشه و كنارها ايستاده اند  سيناهای سر تراشيده  كه عشق به ويسواوا را  به چكمه و لباسهای خال خالی ببری معامله كرده اند  دو روز از اتمام انتخابات، گذشته است  مردم به جبر هميشگی تاريخ  به ضمير تبديل می شوند  و ضميرها  با همه ی خوبی ها و بدی هاشان  خود را  در هزارتوی مصلحت، مستتر می كنند  احساس می كنم به سردخانه ای  برای شناسايی جسدی می روم  ما بيشتر عمرمان را ترسيده ايم " ما می ترسيم پس هستيم"  ما بی هيچ جرم و گناهی می ترسيم  خوبيم و می ترسيم  خوبترينيم و می ترسيم  دمكراسی مثل پيتزا  به معده ی ما ناسازگار است  هيچ حرمتی ندارد آدمی  سبد بياور و خورشيد را به زير سبد پنهان كن  كجای شهرم؟ كجای تاريخ؟ كجای زمان؟ . . . .  #حسین_پناهی 📖 #نامه_هايی_به_آنا#انتخابات#کاشان
38,https://www.instagram.com/p/BUE8YPNlfTkrBql8WbzrWh-zjreP6WjTYAFV4I0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/fe180e0b39233cc97e1f6d5ce75a2a24/5C7DAED5/t51.2885-15/e35/18444673_226362444518298_1739854250466344960_n.jpg,1494774521,11,123,. . . .  از کنار مقبره ای میگذشتم ؛ که روی آن نوشته بود  اینجا آرامگاه مردی راستگو و سیاستمداری بزرگ است  این اولین بار بود که می دیدم  دو نفر را در یک قبر  دفن کرده اند... . . .  #وینستون_چرچیل #اردی_بهشت #حیاط_ت #ایوون
37,https://www.instagram.com/p/BTqE8_HFZM5U8CxwLzqLlzQHaCv3Y1ucHTabpE0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/b51933308ef552b578b6548c9a6e2dd0/5C8AAEA7/t51.2885-15/e35/18252562_766681363494129_2477609918295703552_n.jpg,1493873047,5,128,🌷 . . . .  برای من که چنینم، تو جان متصلی مرا ز خود مکن ای جان جدا که میمیرم... . . . #حسین_منزوی #اردی_بهشت #حیاط_ت #شاخه
36,https://www.instagram.com/p/BTjZSenls52ON4kQP5Ttl3doz-us2ZSYrnd80k0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/5b20d49633554c71ec8f19e0f65d9ec5/5C50390C/t51.2885-15/e35/18161170_766456026891148_5663800354219753472_n.jpg,1493648828,0,111,. . . . بگذار آفتابِ من پیرهنم باشد و آســــــــمانِ من آن کهنه‌کرباسِ بی‌رنگ آسمانی از فیـروزه نیشابـور با رگـه‌های سبـزِ شاخســاران همچون فریادِ واژگونِ جنگلی در دریـاچه ا‌یی،آزاد و رَهــا همچــون آینـــــه ا‌یـــــی که تکثیرتــــــ می‌کند  #شاملو #آب_سفید #اردی_بهشت
35,https://www.instagram.com/p/BTMQYcsFCiqhUVYz1N03oYsRQQ6pu0dq6y-QZ40/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/88689ec82352da3d52a987168f108746/5C889760/t51.2885-15/e35/18013388_1414492475239973_8321030357499510784_n.jpg,1492872406,0,110,. . . ‌باید امروز حواسم باشد  که اگر قاصدکی را دیدم ، آرزوهایم را  بدهم تا برساند به خدا ، به خدایی که خودم میدانم ، نه خدایی که برایم از خشم ، نه خدایی که برایم از قهر،  نه خدایی که برایم ز غضب ساخته اند . به خدایی که خودم میدانم ، به خدایی که دلش پروانه است ، و به مرغان مهاجر هر سال راه را میگوید،  و به باران گفته است باغها تشنه شدند ، و حواسش حتی  به دل نازک شب بو هم هست،  که مبادا که ترک بردارد ،  به خدایی که خودم میدانم  چه خدایی  جانم ... . . .  #سهراب_سپهری #اردی_بهشت
34,https://www.instagram.com/p/BS3jan6l1rI_VjPKGeznMhf-vbyt3TSHruz6JM0/?taken-by=shahrzadseries,https://instagram.fevn1-2.fna.fbcdn.net/vp/93c808deb439aeb501cfb46d29d45a1c/5C888BB9/t51.2885-15/e35/17932209_792177024270681_1172685900425986048_n.jpg,1492177742,2,131,. . . . این خانه را بگذار و بگذر بـا من بیــــا تا کعبـــه دل باور نکـن تنــهاییتـــــــ را من باتوام منزل بـه منزل ______________________________________________ #امامزاده_آقا_پیر_عباد #محمد_اصفهانی #فروردین_۹۶ #اهورا_ایمان
